contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Rowan,8,3,8.3,-3,-1,-1,10,10,0,3,8.Rowan,-1,1,-1,-1,-1,-1,1,-1,0,1,-2,11,M,55,Music teacher,"Pershore, Worcestershire"
Sura,8,3,8.3,-1.6666666666666667,0,3,8,10,0,4,8.Sura,-1,1,0,NA,1,1,1,1,0,0,3,11,F,31,Hospital pharmacy dispenser,London
Dave,8,4,8.4,-2.25,1,3,8,9,0,10,8.Dave,-1,1,1,NA,1,1,1,NA,0,0,4,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,4,8.4,0,-2,2,5,9,0,9,8.Hermine,0,-1,-1,NA,1,1,0,NA,0,0,0,11,F,39,Accountant,London
Laura,8,4,8.4,2.25,-3,0,2,9,0,10,8.Laura,-1,-1,-1,NA,-1,1,0,NA,0,0,-3,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,4,8.4,3,0,1,1,9,0,5,8.Linda,-1,1,0,NA,1,1,-1,NA,0,0,1,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Lottie,8,4,8.4,-3,-2,1,9,9,0,7,8.Lottie,-1,0,-1,NA,-1,1,1,-1,0,0,-1,11,F,31,Pantomime producer,West Sussex
Marc,8,4,8.4,-0.75,-1,1,6,9,0,8,8.Marc,-1,1,-1,NA,-1,1,1,NA,0,0,0,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,4,8.4,1.5,2,1,3,9,0,6,8.Mark,0,1,1,NA,1,-1,1,1,1,0,3,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,4,8.4,0.75,0,3,4,9,1,10,8.Peter,0,-1,1,NA,1,1,1,1,0,0,3,11,M,20,Accounting & finance student,Edinburgh
Sura,8,4,8.4,-1.5,-2,-3,7,9,0,4,8.Sura,-1,0,-1,NA,-1,-1,-1,-1,0,1,-5,11,F,31,Hospital pharmacy dispenser,London
Dave,8,5,8.5,-0.4285714285714284,0,3,5,8,0,10,8.Dave,-1,0,1,NA,1,1,1,1,0,0,3,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,5,8.5,2.142857142857143,2,3,2,8,0,9,8.Hermine,1,1,0,NA,1,1,1,1,0,0,5,11,F,39,Accountant,London
Laura,8,5,8.5,-1.2857142857142858,3,3,6,8,0,10,8.Laura,1,1,1,NA,1,1,1,1,1,0,6,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,5,8.5,-3,1,-1,8,8,0,5,8.Linda,1,1,-1,NA,-1,1,-1,-1,0,1,0,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Lottie,8,5,8.5,0.4285714285714287,1,2,4,8,0,7,8.Lottie,1,1,-1,NA,1,1,0,NA,0,0,3,11,F,31,Pantomime producer,West Sussex
Marc,8,5,8.5,-2.1428571428571423,-1,1,7,8,0,8,8.Marc,-1,1,-1,NA,-1,1,1,-1,0,0,0,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,5,8.5,1.2857142857142858,3,-1,3,8,0,6,8.Mark,1,1,1,NA,-1,1,-1,-1,0,0,2,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,5,8.5,3,1,3,1,8,1,10,8.Peter,-1,1,1,NA,1,1,1,1,0,0,4,11,M,20,Accounting & finance student,Edinburgh
Dave,8,6,8.6,1,2,3,3,7,0,10,8.Dave,1,1,0,1,1,1,1,1,0,0,5,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,6,8.6,0,2,-1,4,7,0,9,8.Hermine,1,1,0,NA,-1,1,-1,-1,0,0,1,11,F,39,Accountant,London
Laura,8,6,8.6,-3,-1,2,7,7,0,10,8.Laura,-1,1,-1,-1,1,1,0,-1,0,0,1,11,F,31,Digital manager,"Gravesend, Kent"
Lottie,8,6,8.6,2,3,3,2,7,0,7,8.Lottie,1,1,1,1,1,1,1,1,1,0,6,11,F,31,Pantomime producer,West Sussex
Marc,8,6,8.6,-2,2,3,6,7,0,8,8.Marc,1,1,0,NA,1,1,1,1,0,0,5,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,6,8.6,-0.9999999999999998,3,-1,5,7,0,6,8.Mark,1,1,1,NA,-1,-1,1,-1,0,1,2,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,6,8.6,3,0,1,1,7,1,10,8.Peter,-1,1,0,NA,1,-1,1,NA,0,0,1,11,M,20,Accounting & finance student,Edinburgh
Dave,8,7,8.7,-3,-1,1,6,6,0,10,8.Dave,0,-1,0,-1,1,1,-1,NA,0,0,0,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,7,8.7,3,1,3,1,6,0,9,8.Hermine,-1,1,1,1,1,1,1,1,1,0,4,11,F,39,Accountant,London
Laura,8,7,8.7,-0.5999999999999999,0,0,4,6,0,10,8.Laura,-1,1,0,-1,0,1,-1,-1,0,0,0,11,F,31,Digital manager,"Gravesend, Kent"
Lottie,8,7,8.7,-1.8000000000000003,3,-2,5,6,0,7,8.Lottie,1,1,1,-1,0,-1,-1,-1,0,1,1,11,F,31,Pantomime producer,West Sussex
Marc,8,7,8.7,0.5999999999999999,2,2,3,6,0,8,8.Marc,1,1,0,NA,0,1,1,1,0,0,4,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Peter,8,7,8.7,1.7999999999999998,2,1,2,6,1,10,8.Peter,1,0,1,NA,-1,1,1,NA,0,0,3,11,M,20,Accounting & finance student,Edinburgh
Dave,8,8,8.8,-3,3,1,5,5,0,10,8.Dave,1,1,1,NA,-1,1,1,NA,0,0,4,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,8,8.8,0,-1,3,3,5,0,9,8.Hermine,-1,-1,1,NA,1,1,1,1,1,0,2,11,F,39,Accountant,London
Laura,8,8,8.8,3,1,2,1,5,0,10,8.Laura,1,1,-1,1,1,1,0,1,0,0,3,11,F,31,Digital manager,"Gravesend, Kent"
Marc,8,8,8.8,1.5,-2,-2,2,5,0,8,8.Marc,0,-1,-1,NA,-1,-1,0,-1,0,1,-4,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Peter,8,8,8.8,-1.5,0,-1,4,5,1,10,8.Peter,0,1,-1,-1,-1,1,-1,-1,0,0,-1,11,M,20,Accounting & finance student,Edinburgh
Dave,8,9,8.9,-0.9999999999999998,3,3,3,4,0,10,8.Dave,1,1,1,NA,1,1,1,1,0,0,6,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,9,8.9,1,1,-1,2,4,0,9,8.Hermine,-1,1,1,NA,-1,1,-1,-1,0,1,0,11,F,39,Accountant,London
Laura,8,9,8.9,-3,1,1,4,4,0,10,8.Laura,1,0,0,NA,1,1,-1,-1,0,0,2,11,F,31,Digital manager,"Gravesend, Kent"
Peter,8,9,8.9,3,3,3,1,4,1,10,8.Peter,1,1,1,NA,1,1,1,1,1,0,6,11,M,20,Accounting & finance student,Edinburgh
Dave,8,10,8.10,3,2,1,1,3,0,10,8.Dave,1,1,0,1,-1,1,1,NA,0,1,3,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Laura,8,10,8.10,-3,-1,1,3,3,0,10,8.Laura,-1,1,-1,-1,1,1,-1,NA,0,1,0,11,F,31,Digital manager,"Gravesend, Kent"
Peter,8,10,8.10,0,3,3,2,3,1,10,8.Peter,1,1,1,1,1,1,1,NA,1,0,6,11,M,20,Accounting & finance student,Edinburgh
Amanda,9,1,9.1,-3,-1,-2,12,12,0,6,9.Amanda,0,0,-1,-1,-1,-1,0,-1,0,0,-3,12,F,56,Metropolitan Police detective,London
Chigs,9,1,9.1,-2.454545454545454,3,2,11,12,0,10,9.Chigs,1,1,1,NA,1,1,0,NA,0,0,5,12,M,40,Sales manager,Leicester
Crystelle,9,1,9.1,-0.8181818181818181,2,3,8,12,0,10,9.Crystelle,1,1,0,NA,1,1,1,1,0,0,5,12,F,26,Client relationship manager,London
Freya,9,1,9.1,2.454545454545454,0,3,2,12,0,5,9.Freya,-1,1,0,NA,1,1,1,NA,0,0,3,12,F,19,Student,"Scarborough, North Yorkshire"
George,9,1,9.1,1.9090909090909092,-3,0,3,12,0,7,9.George,-1,-1,-1,-1,0,1,-1,-1,0,0,-3,12,M,34,Shared lives coordinator,London
Giuseppe,9,1,9.1,-1.9090909090909094,3,1,10,12,1,10,9.Giuseppe,1,1,1,1,-1,1,1,1,0,0,4,12,M,45,Chief engineer,Bristol
Jairzeno,9,1,9.1,-1.3636363636363638,1,1,9,12,0,2,9.Jairzeno,1,1,-1,NA,1,1,-1,-1,0,0,2,12,M,51,Head of Finance,London
Jurgen,9,1,9.1,0.2727272727272728,1,3,6,12,0,9,9.Jurgen,1,1,-1,1,1,1,1,1,1,0,4,NA,NA,NA,NA,NA
Lizzie,9,1,9.1,1.3636363636363638,-3,1,4,12,0,8,9.Lizzie,-1,-1,-1,NA,1,1,-1,NA,0,0,-2,12,F,28,Car production operative,Liverpool
Maggie,9,1,9.1,3,2,0,1,12,0,4,9.Maggie,1,1,0,1,1,-1,0,NA,0,0,2,12,F,70,Retired nurse and midwife,"Poole, Dorset"
Rochica,9,1,9.1,-0.2727272727272725,1,1,7,12,0,3,9.Rochica,-1,1,1,NA,0,1,0,NA,0,0,2,12,F,27,Junior HR business partner,Birmingham
Tom,9,1,9.1,0.8181818181818181,-1,-2,5,12,0,1,9.Tom,1,-1,-1,-1,0,-1,-1,-1,0,1,-3,12,M,28,Software developer,"Maidstone, Kent"
Amanda,9,2,9.2,1.2000000000000002,0,1,4,11,0,6,9.Amanda,0,1,-1,NA,1,1,-1,-1,0,0,1,12,F,56,Metropolitan Police detective,London
Chigs,9,2,9.2,-0.5999999999999999,3,3,7,11,0,10,9.Chigs,1,1,1,NA,1,1,1,1,0,0,6,12,M,40,Sales manager,Leicester
Crystelle,9,2,9.2,-2.4000000000000004,2,3,10,11,0,10,9.Crystelle,1,1,0,NA,1,1,1,NA,0,0,5,12,F,26,Client relationship manager,London
Freya,9,2,9.2,1.7999999999999998,2,2,3,11,0,5,9.Freya,1,0,1,NA,1,0,1,NA,0,0,4,12,F,19,Student,"Scarborough, North Yorkshire"
George,9,2,9.2,-1.1999999999999997,1,3,8,11,0,7,9.George,1,1,-1,NA,1,1,1,NA,0,0,4,12,M,34,Shared lives coordinator,London
Giuseppe,9,2,9.2,2.4000000000000004,3,3,2,11,1,10,9.Giuseppe,1,1,1,NA,1,1,1,1,0,0,6,12,M,45,Chief engineer,Bristol
Jairzeno,9,2,9.2,-1.8000000000000003,-2,1,9,11,0,2,9.Jairzeno,0,-1,-1,NA,1,1,-1,-1,0,1,-1,12,M,51,Head of Finance,London
Jurgen,9,2,9.2,3,3,3,1,11,0,9,9.Jurgen,1,1,1,NA,1,1,1,1,1,0,6,NA,NA,NA,NA,NA
Lizzie,9,2,9.2,0,1,1,6,11,0,8,9.Lizzie,1,1,-1,NA,1,0,0,NA,0,0,2,12,F,28,Car production operative,Liverpool
Maggie,9,2,9.2,0.5999999999999999,-1,-2,5,11,0,4,9.Maggie,-1,1,-1,NA,-1,0,-1,-1,0,0,-3,12,F,70,Retired nurse and midwife,"Poole, Dorset"
Rochica,9,2,9.2,-3,1,3,11,11,0,3,9.Rochica,1,1,-1,NA,1,1,1,NA,0,0,4,12,F,27,Junior HR business partner,Birmingham
Amanda,9,3,9.3,1.6666666666666667,-1,3,3,10,0,6,9.Amanda,-1,0,0,NA,1,1,1,NA,0,0,2,12,F,56,Metropolitan Police detective,London
Chigs,9,3,9.3,-0.3333333333333335,0,3,6,10,0,10,9.Chigs,-1,1,0,-1,1,1,1,NA,0,0,3,12,M,40,Sales manager,Leicester
Crystelle,9,3,9.3,-2.333333333333333,2,3,9,10,0,10,9.Crystelle,1,1,0,NA,1,1,1,NA,0,0,5,12,F,26,Client relationship manager,London
Freya,9,3,9.3,1,2,3,4,10,0,5,9.Freya,1,1,0,NA,1,1,1,1,0,0,5,12,F,19,Student,"Scarborough, North Yorkshire"
George,9,3,9.3,-0.9999999999999998,2,1,7,10,0,7,9.George,1,1,0,NA,-1,1,1,NA,0,0,3,12,M,34,Shared lives coordinator,London
Giuseppe,9,3,9.3,3,3,3,1,10,1,10,9.Giuseppe,1,1,1,1,1,1,1,1,1,0,6,12,M,45,Chief engineer,Bristol
Jurgen,9,3,9.3,0.3333333333333335,-2,1,5,10,0,9,9.Jurgen,-1,-1,0,-1,-1,1,1,NA,0,0,-1,NA,NA,NA,NA,NA
Lizzie,9,3,9.3,2.3333333333333335,3,2,2,10,0,8,9.Lizzie,1,1,1,NA,1,0,1,1,0,0,5,12,F,28,Car production operative,Liverpool
Maggie,9,3,9.3,-1.6666666666666667,2,-3,8,10,0,4,9.Maggie,0,1,1,-1,-1,-1,-1,-1,0,0,-1,12,F,70,Retired nurse and midwife,"Poole, Dorset"
Rochica,9,3,9.3,-3,0,-1,10,10,0,3,9.Rochica,0,-1,1,-1,-1,1,-1,-1,0,1,-1,12,F,27,Junior HR business partner,Birmingham
Amanda,9,4,9.4,-2.25,0,-1,8,9,0,6,9.Amanda,0,-1,1,NA,1,-1,-1,-1,0,0,-1,12,F,56,Metropolitan Police detective,London
Chigs,9,4,9.4,1.5,3,3,3,9,0,10,9.Chigs,1,1,1,NA,1,1,1,1,1,0,6,12,M,40,Sales manager,Leicester
Crystelle,9,4,9.4,0,2,3,5,9,0,10,9.Crystelle,0,1,1,NA,1,1,1,NA,0,0,5,12,F,26,Client relationship manager,London
Freya,9,4,9.4,-0.75,0,-2,6,9,0,5,9.Freya,0,-1,1,NA,0,-1,-1,-1,0,0,-2,12,F,19,Student,"Scarborough, North Yorkshire"
George,9,4,9.4,-1.5,-1,-2,7,9,0,7,9.George,-1,1,-1,NA,0,-1,-1,NA,0,0,-3,12,M,34,Shared lives coordinator,London
Giuseppe,9,4,9.4,0.75,1,3,4,9,1,10,9.Giuseppe,-1,1,1,NA,1,1,1,1,0,0,4,12,M,45,Chief engineer,Bristol
Jurgen,9,4,9.4,3,2,3,1,9,0,9,9.Jurgen,1,1,0,NA,1,1,1,1,0,0,5,NA,NA,NA,NA,NA
Lizzie,9,4,9.4,2.25,-1,0,2,9,0,8,9.Lizzie,-1,1,-1,NA,-1,1,0,NA,0,0,-1,12,F,28,Car production operative,Liverpool
Maggie,9,4,9.4,-3,-1,-1,9,9,0,4,9.Maggie,-1,1,-1,NA,-1,1,-1,-1,0,1,-2,12,F,70,Retired nurse and midwife,"Poole, Dorset"
Amanda,9,5,9.5,-3,1,2,8,8,0,6,9.Amanda,1,1,-1,NA,1,1,0,NA,0,0,3,12,F,56,Metropolitan Police detective,London
Chigs,9,5,9.5,2.142857142857143,2,1,2,8,0,10,9.Chigs,1,1,0,NA,-1,1,1,NA,0,0,3,12,M,40,Sales manager,Leicester
Crystelle,9,5,9.5,-2.1428571428571423,3,3,7,8,0,10,9.Crystelle,1,1,1,NA,1,1,1,NA,0,0,6,12,F,26,Client relationship manager,London
Freya,9,5,9.5,-0.4285714285714284,-1,-1,5,8,0,5,9.Freya,-1,1,-1,NA,-1,1,-1,-1,0,1,-2,12,F,19,Student,"Scarborough, North Yorkshire"
George,9,5,9.5,-1.2857142857142858,1,1,6,8,0,7,9.George,-1,1,1,NA,-1,1,1,-1,0,0,2,12,M,34,Shared lives coordinator,London
Giuseppe,9,5,9.5,3,3,3,1,8,1,10,9.Giuseppe,1,1,1,NA,1,1,1,1,1,0,6,12,M,45,Chief engineer,Bristol
Jurgen,9,5,9.5,0.4285714285714287,3,2,4,8,0,9,9.Jurgen,1,1,1,NA,0,1,1,1,0,0,5,NA,NA,NA,NA,NA
Lizzie,9,5,9.5,1.2857142857142858,-1,2,3,8,0,8,9.Lizzie,-1,0,0,NA,1,0,1,NA,0,0,1,12,F,28,Car production operative,Liverpool
Amanda,9,6,9.6,-0.9999999999999998,-1,-3,5,7,0,6,9.Amanda,0,-1,0,-1,-1,-1,-1,-1,0,1,-4,12,F,56,Metropolitan Police detective,London
Chigs,9,6,9.6,1,2,0,3,7,0,10,9.Chigs,1,1,0,1,0,1,-1,NA,0,0,2,12,M,40,Sales manager,Leicester
Crystelle,9,6,9.6,2,0,3,2,7,0,10,9.Crystelle,-1,1,0,1,1,1,1,1,1,0,3,12,F,26,Client relationship manager,London
George,9,6,9.6,-2,2,-1,6,7,0,7,9.George,1,0,1,NA,-1,-1,1,-1,0,0,1,12,M,34,Shared lives coordinator,London
Giuseppe,9,6,9.6,0,2,3,4,7,1,10,9.Giuseppe,1,1,0,1,1,1,1,1,0,0,5,12,M,45,Chief engineer,Bristol
Jurgen,9,6,9.6,3,2,2,1,7,0,9,9.Jurgen,1,1,0,1,1,0,1,NA,0,0,4,NA,NA,NA,NA,NA
Lizzie,9,6,9.6,-3,3,2,7,7,0,8,9.Lizzie,1,1,1,-1,0,1,1,NA,0,0,5,12,F,28,Car production operative,Liverpool
Chigs,9,7,9.7,0.5999999999999999,0,0,3,6,0,10,9.Chigs,0,-1,1,NA,-1,1,0,1,0,0,0,12,M,40,Sales manager,Leicester
Crystelle,9,7,9.7,-0.5999999999999999,3,1,4,6,0,10,9.Crystelle,1,1,1,NA,-1,1,1,1,0,0,4,12,F,26,Client relationship manager,London
George,9,7,9.7,-3,-1,2,6,6,0,7,9.George,1,-1,-1,NA,0,1,1,-1,0,1,1,12,M,34,Shared lives coordinator,London
Giuseppe,9,7,9.7,3,1,1,1,6,1,10,9.Giuseppe,1,-1,1,NA,-1,1,1,1,0,0,2,12,M,45,Chief engineer,Bristol
Jurgen,9,7,9.7,1.7999999999999998,-2,3,2,6,0,9,9.Jurgen,-1,0,-1,NA,1,1,1,1,1,0,1,NA,NA,NA,NA,NA
Lizzie,9,7,9.7,-1.8000000000000003,1,-1,5,6,0,8,9.Lizzie,1,1,-1,NA,-1,-1,1,-1,0,0,0,12,F,28,Car production operative,Liverpool
Chigs,9,8,9.8,3,1,3,1,5,0,10,9.Chigs,1,-1,1,NA,1,1,1,1,1,0,4,12,M,40,Sales manager,Leicester
Crystelle,9,8,9.8,-3,3,3,5,5,0,10,9.Crystelle,1,1,1,-1,1,1,1,-1,0,0,6,12,F,26,Client relationship manager,London
Giuseppe,9,8,9.8,1.5,3,-1,2,5,1,10,9.Giuseppe,1,1,1,1,-1,0,0,NA,0,0,2,12,M,45,Chief engineer,Bristol
Jurgen,9,8,9.8,-1.5,1,3,4,5,0,9,9.Jurgen,1,1,-1,NA,1,1,1,1,0,0,4,NA,NA,NA,NA,NA
Lizzie,9,8,9.8,0,1,3,3,5,0,8,9.Lizzie,1,1,-1,-1,1,1,1,-1,0,1,4,12,F,28,Car production operative,Liverpool
Chigs,9,9,9.9,-3,3,3,4,4,0,10,9.Chigs,1,1,1,NA,1,1,1,1,0,0,6,12,M,40,Sales manager,Leicester
Crystelle,9,9,9.9,-0.9999999999999998,3,3,3,4,0,10,9.Crystelle,1,1,1,NA,1,1,1,1,1,0,6,12,F,26,Client relationship manager,London
Giuseppe,9,9,9.9,1,3,1,2,4,1,10,9.Giuseppe,1,1,1,NA,1,-1,1,-1,0,0,4,12,M,45,Chief engineer,Bristol
Jurgen,9,9,9.9,3,2,2,1,4,0,9,9.Jurgen,1,0,1,NA,1,1,0,-1,0,1,4,NA,NA,NA,NA,NA
Chigs,9,10,9.10,0,1,3,2,3,0,10,9.Chigs,-1,1,1,-1,1,1,1,NA,0,1,4,12,M,40,Sales manager,Leicester
Crystelle,9,10,9.10,3,0,1,1,3,0,10,9.Crystelle,0,1,-1,1,-1,1,1,NA,0,1,1,12,F,26,Client relationship manager,London
Giuseppe,9,10,9.10,-3,1,3,3,3,1,10,9.Giuseppe,-1,1,1,NA,1,1,1,NA,1,0,4,12,M,45,Chief engineer,Bristol
Abdul,10,1,10.1,0.2727272727272728,3,1,6,12,0,10,10.Abdul,1,1,1,1,1,1,-1,NA,0,0,4,13,M,29,Electronics engineer,London
Carole,10,1,10.1,-0.8181818181818181,3,0,8,12,0,5,10.Carole,1,1,1,NA,0,-1,1,NA,0,0,3,13,F,59,Supermarket cashier,Dorset
Dawn,10,1,10.1,1.9090909090909092,2,3,3,12,0,6,10.Dawn,1,1,0,NA,1,1,1,NA,0,0,5,13,F,60,IT manager,Bedfordshire
James,10,1,10.1,-3,1,1,12,12,0,4,10.James,1,1,-1,NA,-1,1,1,NA,0,0,2,13,M,25,Nuclear scientist,Cumbria
Janusz,10,1,10.1,-0.2727272727272725,3,3,7,12,0,9,10.Janusz,1,1,1,1,1,1,1,1,1,0,6,13,M,34,Personal assistant to head teacher,East Sussex
Kevin,10,1,10.1,1.3636363636363638,1,2,4,12,0,7,10.Kevin,-1,1,1,NA,1,1,0,NA,0,0,3,13,M,33,Music teacher,Lanarkshire
Maisam,10,1,10.1,0.8181818181818181,1,-1,5,12,0,2,10.Maisam,1,1,-1,-1,-1,1,-1,-1,0,0,0,13,F,18,Student and sales assistant,Greater Manchester
Maxy,10,1,10.1,-1.9090909090909094,-1,1,10,12,0,8,10.Maxy,-1,1,-1,NA,1,1,-1,NA,0,0,0,13,F,29,Architectural assistant,London
Rebs,10,1,10.1,-2.454545454545454,-2,2,11,12,0,4,10.Rebs,-1,-1,0,-1,0,1,1,-1,0,0,0,13,F,23,Masters student,County Antrim
Sandro,10,1,10.1,2.454545454545454,3,-1,2,12,0,10,10.Sandro,1,1,1,1,1,-1,-1,1,0,0,2,13,M,30,Nanny,London
Syabira,10,1,10.1,3,1,1,1,12,1,10,10.Syabira,1,1,-1,1,1,-1,1,1,0,0,2,13,F,32,Cardiovascular research associate,London
Will,10,1,10.1,-1.3636363636363638,-2,-1,9,12,0,1,10.Will,0,-1,-1,-1,-1,0,0,-1,0,1,-3,13,M,45,Former charity director,London
