season,contestant,gender,age,occupation,hometown,round,technical,series
8,Chris,M,50,Software developer,Bristol,1,12,5
8,Flo,F,71,Retired,Merseyside,1,9,5
8,James,M,46,Banker,"Brentwood, Essex",1,2,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",1,3,5
8,Kate,F,29,Health and safety inspector,Merseyside,1,1,5
8,Liam,M,19,Student,North London,1,8,5
8,Peter,M,52,IT programme manager,"Southend, Essex",1,10,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",1,5,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",1,11,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",1,6,5
8,Tom,M,29,Architect,Edinburgh,1,7,5
8,Yan,F,46,Laboratory research scientist,North London,1,4,5
8,Chris,M,50,Software developer,Bristol,2,11,5
8,Flo,F,71,Retired,Merseyside,2,10,5
8,James,M,46,Banker,"Brentwood, Essex",2,3,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",2,4,5
8,Kate,F,29,Health and safety inspector,Merseyside,2,8,5
8,Liam,M,19,Student,North London,2,7,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",2,2,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",2,9,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",2,6,5
8,Tom,M,29,Architect,Edinburgh,2,5,5
8,Yan,F,46,Laboratory research scientist,North London,2,1,5
8,Flo,F,71,Retired,Merseyside,3,7,5
8,James,M,46,Banker,"Brentwood, Essex",3,9,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",3,2,5
8,Kate,F,29,Health and safety inspector,Merseyside,3,10,5
8,Liam,M,19,Student,North London,3,5,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",3,6,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",3,1,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",3,3,5
8,Tom,M,29,Architect,Edinburgh,3,4,5
8,Yan,F,46,Laboratory research scientist,North London,3,8,5
8,James,M,46,Banker,"Brentwood, Essex",4,2,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",4,9,5
8,Kate,F,29,Health and safety inspector,Merseyside,4,6,5
8,Liam,M,19,Student,North London,4,3,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",4,4,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",4,1,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",4,7,5
8,Tom,M,29,Architect,Edinburgh,4,5,5
8,Yan,F,46,Laboratory research scientist,North London,4,8,5
8,James,M,46,Banker,"Brentwood, Essex",5,7,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",5,3,5
8,Kate,F,29,Health and safety inspector,Merseyside,5,8,5
8,Liam,M,19,Student,North London,5,2,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",5,1,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",5,4,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",5,5,5
8,Yan,F,46,Laboratory research scientist,North London,5,6,5
8,Julia,F,21,Aviation Broker,"Crawley, West Sussex",6,7,5
8,Kate,F,29,Health and safety inspector,Merseyside,6,5,5
8,Liam,M,19,Student,North London,6,4,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",6,2,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",6,6,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",6,3,5
8,Yan,F,46,Laboratory research scientist,North London,6,1,5
8,Kate,F,29,Health and safety inspector,Merseyside,7,6,5
8,Liam,M,19,Student,North London,7,2,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",7,3,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",7,4,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",7,1,5
8,Yan,F,46,Laboratory research scientist,North London,7,5,5
8,Kate,F,29,Health and safety inspector,Merseyside,8,2,5
8,Liam,M,19,Student,North London,8,5,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,4,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",8,3,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",8,1,5
8,Kate,F,29,Health and safety inspector,Merseyside,9,4,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",9,1,5
8,Stacey,F,42,Former school teacher,"Radlett, Hertfordshire",9,2,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",9,3,5
8,Kate,F,29,Health and safety inspector,Merseyside,10,3,5
8,Sophie,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",10,2,5
8,Steven,M,34,Marketer,"Watford, Hertfordshire",10,1,5
9,Antony,M,30,Banker,London,1,12,6
9,Briony,F,33,Stay at home parent,Bristol,1,2,6
9,Dan,M,36,Stay at home parent,London,1,4,6
9,Imelda,F,33,Countryside recreation officer,County Tyrone,1,11,6
9,Jon,M,47,Blood courier,Newport,1,5,6
9,Karen,F,60,In-store sampling assistant,Wakefield,1,6,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,1,10,6
9,Luke,M,30,Civil servant/house and techno DJ,Sheffield,1,8,6
9,Manon,F,26,Software project manager,London,1,3,6
9,Rahul,M,30,Research scientist,Rotherham,1,7,6
9,Ruby,F,29,Project manager,London,1,1,6
9,Terry,M,56,Retired air steward,West Midlands,1,9,6
9,Antony,M,30,Banker,London,2,9,6
9,Briony,F,33,Stay at home parent,Bristol,2,5,6
9,Dan,M,36,Stay at home parent,London,2,3,6
9,Jon,M,47,Blood courier,Newport,2,1,6
9,Karen,F,60,In-store sampling assistant,Wakefield,2,11,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,2,4,6
9,Luke,M,30,Civil servant/house and techno DJ,Sheffield,2,7,6
9,Manon,F,26,Software project manager,London,2,6,6
9,Rahul,M,30,Research scientist,Rotherham,2,2,6
9,Ruby,F,29,Project manager,London,2,10,6
9,Terry,M,56,Retired air steward,West Midlands,2,8,6
9,Antony,M,30,Banker,London,3,8,6
9,Briony,F,33,Stay at home parent,Bristol,3,9,6
9,Dan,M,36,Stay at home parent,London,3,6,6
9,Jon,M,47,Blood courier,Newport,3,2,6
9,Karen,F,60,In-store sampling assistant,Wakefield,3,5,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,3,10,6
9,Manon,F,26,Software project manager,London,3,3,6
9,Rahul,M,30,Research scientist,Rotherham,3,4,6
9,Ruby,F,29,Project manager,London,3,7,6
9,Terry,M,56,Retired air steward,West Midlands,3,1,6
9,Briony,F,33,Stay at home parent,Bristol,4,5,6
9,Dan,M,36,Stay at home parent,London,4,1,6
9,Jon,M,47,Blood courier,Newport,4,3,6
9,Karen,F,60,In-store sampling assistant,Wakefield,4,7,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,4,6,6
9,Manon,F,26,Software project manager,London,4,8,6
9,Rahul,M,30,Research scientist,Rotherham,4,4,6
9,Ruby,F,29,Project manager,London,4,2,6
9,Briony,F,33,Stay at home parent,Bristol,5,6,6
9,Dan,M,36,Stay at home parent,London,5,2,6
9,Jon,M,47,Blood courier,Newport,5,7,6
9,Karen,F,60,In-store sampling assistant,Wakefield,5,9,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,5,4,6
9,Manon,F,26,Software project manager,London,5,5,6
9,Rahul,M,30,Research scientist,Rotherham,5,3,6
9,Ruby,F,29,Project manager,London,5,1,6
9,Terry,M,56,Retired air steward,West Midlands,5,8,6
9,Briony,F,33,Stay at home parent,Bristol,6,1,6
9,Dan,M,36,Stay at home parent,London,6,6,6
9,Jon,M,47,Blood courier,Newport,6,2,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,6,5,6
9,Manon,F,26,Software project manager,London,6,4,6
9,Rahul,M,30,Research scientist,Rotherham,6,3,6
9,Ruby,F,29,Project manager,London,6,7,6
9,Briony,F,33,Stay at home parent,Bristol,7,5,6
9,Jon,M,47,Blood courier,Newport,7,4,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,7,6,6
9,Manon,F,26,Software project manager,London,7,2,6
9,Rahul,M,30,Research scientist,Rotherham,7,1,6
9,Ruby,F,29,Project manager,London,7,3,6
9,Briony,F,33,Stay at home parent,Bristol,8,1,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,8,2,6
9,Manon,F,26,Software project manager,London,8,4,6
9,Rahul,M,30,Research scientist,Rotherham,8,5,6
9,Ruby,F,29,Project manager,London,8,3,6
9,Briony,F,33,Stay at home parent,Bristol,9,3,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,9,2,6
9,Rahul,M,30,Research scientist,Rotherham,9,4,6
9,Ruby,F,29,Project manager,London,9,1,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,10,1,6
9,Rahul,M,30,Research scientist,Rotherham,10,2,6
9,Ruby,F,29,Project manager,London,10,3,6
10,Alice,F,28,Geography teacher,Essex,1,5,7
10,Amelia,F,24,Fashion designer,Halifax,1,4,7
10,Dan,M,32,Support worker,Rotherham,1,10,7
10,David,M,36,International health adviser,Whitby,1,9,7
10,Helena,F,40,Online project manager,Leeds,1,12,7
10,Henry,M,20,Student,Durham,1,1,7
10,Jamie,M,20,Part-time waiter,Surrey,1,13,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,1,11,7
10,Michelle,F,35,Print shop administrator,"Tenby, Wales",1,6,7
10,Phil,M,56,HGV driver,Rainham,1,8,7
10,Priya,F,34,Marketing consultant,Leicester,1,7,7
10,Rosie,F,28,Veterinary surgeon,Somerset,1,2,7
10,Steph,F,28,Shop assistant,Chester,1,3,7
10,Alice,F,28,Geography teacher,Essex,2,1,7
10,Amelia,F,24,Fashion designer,Halifax,2,9,7
10,David,M,36,International health adviser,Whitby,2,2,7
10,Helena,F,40,Online project manager,Leeds,2,12,7
10,Henry,M,20,Student,Durham,2,6,7
10,Jamie,M,20,Part-time waiter,Surrey,2,11,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,2,4,7
10,Michelle,F,35,Print shop administrator,"Tenby, Wales",2,8,7
10,Phil,M,56,HGV driver,Rainham,2,3,7
10,Priya,F,34,Marketing consultant,Leicester,2,7,7
10,Rosie,F,28,Veterinary surgeon,Somerset,2,5,7
10,Steph,F,28,Shop assistant,Chester,2,10,7
10,Alice,F,28,Geography teacher,Essex,3,7,7
10,Amelia,F,24,Fashion designer,Halifax,3,11,7
10,David,M,36,International health adviser,Whitby,3,2,7
10,Helena,F,40,Online project manager,Leeds,3,8,7
10,Henry,M,20,Student,Durham,3,1,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,3,6,7
10,Michelle,F,35,Print shop administrator,"Tenby, Wales",3,5,7
10,Phil,M,56,HGV driver,Rainham,3,10,7
10,Priya,F,34,Marketing consultant,Leicester,3,4,7
10,Rosie,F,28,Veterinary surgeon,Somerset,3,9,7
10,Steph,F,28,Shop assistant,Chester,3,3,7
10,Alice,F,28,Geography teacher,Essex,4,8,7
10,David,M,36,International health adviser,Whitby,4,2,7
10,Helena,F,40,Online project manager,Leeds,4,9,7
10,Henry,M,20,Student,Durham,4,3,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,4,7,7
10,Michelle,F,35,Print shop administrator,"Tenby, Wales",4,5,7
10,Phil,M,56,HGV driver,Rainham,4,6,7
10,Priya,F,34,Marketing consultant,Leicester,4,10,7
10,Rosie,F,28,Veterinary surgeon,Somerset,4,4,7
10,Steph,F,28,Shop assistant,Chester,4,1,7
10,Alice,F,28,Geography teacher,Essex,5,6,7
10,David,M,36,International health adviser,Whitby,5,9,7
10,Helena,F,40,Online project manager,Leeds,5,1,7
10,Henry,M,20,Student,Durham,5,3,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,5,8,7
10,Michelle,F,35,Print shop administrator,"Tenby, Wales",5,7,7
10,Priya,F,34,Marketing consultant,Leicester,5,2,7
10,Rosie,F,28,Veterinary surgeon,Somerset,5,5,7
10,Steph,F,28,Shop assistant,Chester,5,4,7
10,Alice,F,28,Geography teacher,Essex,6,1,7
10,David,M,36,International health adviser,Whitby,6,2,7
10,Henry,M,20,Student,Durham,6,4,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,6,6,7
10,Priya,F,34,Marketing consultant,Leicester,6,7,7
10,Rosie,F,28,Veterinary surgeon,Somerset,6,5,7
10,Steph,F,28,Shop assistant,Chester,6,3,7
10,Alice,F,28,Geography teacher,Essex,7,6,7
10,David,M,36,International health adviser,Whitby,7,2,7
10,Henry,M,20,Student,Durham,7,3,7
10,Michael,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon,7,5,7
10,Rosie,F,28,Veterinary surgeon,Somerset,7,1,7
10,Steph,F,28,Shop assistant,Chester,7,4,7
10,Alice,F,28,Geography teacher,Essex,8,3,7
10,David,M,36,International health adviser,Whitby,8,1,7
10,Henry,M,20,Student,Durham,8,5,7
10,Rosie,F,28,Veterinary surgeon,Somerset,8,2,7
10,Steph,F,28,Shop assistant,Chester,8,4,7
10,Alice,F,28,Geography teacher,Essex,9,4,7
10,David,M,36,International health adviser,Whitby,9,2,7
10,Rosie,F,28,Veterinary surgeon,Somerset,9,1,7
10,Steph,F,28,Shop assistant,Chester,9,3,7
10,Alice,F,28,Geography teacher,Essex,10,2,7
10,David,M,36,International health adviser,Whitby,10,1,7
10,Steph,F,28,Shop assistant,Chester,10,3,7
11,Dave,M,30,Armoured security guard,"Waterlooville, Hampshire",1,9,8
11,Hermine,F,39,Accountant,London,1,5,8
11,Laura,F,31,Digital manager,"Gravesend, Kent",1,6,8
11,Linda,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex",1,12,8
11,Loriea,F,27,Diagnostic radiographer,Durham,1,10,8
11,Lottie,F,31,Pantomime producer,West Sussex,1,4,8
11,Mak,M,51,Accountant,Manchester,1,8,8
11,Marc,M,51,Bronze resin sculptor,"St Eval, Cornwall",1,11,8
11,Mark,M,32,Project manager,"Portadown, Northern Ireland",1,7,8
11,Peter,M,20,Accounting & finance student,Edinburgh,1,2,8
11,Rowan,M,55,Music teacher,"Pershore, Worcestershire",1,3,8
11,Sura,F,31,Hospital pharmacy dispenser,London,1,1,8
11,Dave,M,30,Armoured security guard,"Waterlooville, Hampshire",2,1,8
11,Hermine,F,39,Accountant,London,2,5,8
11,Laura,F,31,Digital manager,"Gravesend, Kent",2,7,8
11,Linda,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex",2,4,8
11,Lottie,F,31,Pantomime producer,West Sussex,2,8,8
11,Mak,M,51,Accountant,Manchester,2,3,8
11,Marc,M,51,Bronze resin sculptor,"St Eval, Cornwall",2,9,8
11,Mark,M,32,Project manager,"Portadown, Northern Ireland",2,2,8
11,Peter,M,20,Accounting & finance student,Edinburgh,2,10,8
11,Rowan,M,55,Music teacher,"Pershore, Worcestershire",2,11,8
11,Sura,F,31,Hospital pharmacy dispenser,London,2,6,8
11,Dave,M,30,Armoured security guard,"Waterlooville, Hampshire",3,9,8
11,Hermine,F,39,Accountant,London,3,7,8
11,Laura,F,31,Digital manager,"Gravesend, Kent",3,6,8
11,Linda,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex",3,1,8
11,Lottie,F,31,Pantomime producer,West Sussex,3,5,8
11,Marc,M,51,Bronze resin sculptor,"St Eval, Cornwall",3,2,8
11,Mark,M,32,Project manager,"Portadown, Northern Ireland",3,3,8
11,Peter,M,20,Accounting & finance student,Edinburgh,3,4,8
11,Rowan,M,55,Music teacher,"Pershore, Worcestershire",3,10,8
11,Sura,F,31,Hospital pharmacy dispenser,London,3,8,8
11,Dave,M,30,Armoured security guard,"Waterlooville, Hampshire",4,8,8
11,Hermine,F,39,Accountant,London,4,5,8
11,Laura,F,31,Digital manager,"Gravesend, Kent",4,2,8
11,Linda,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex",4,1,8
11,Lottie,F,31,Pantomime producer,West Sussex,4,9,8
11,Marc,M,51,Bronze resin sculptor,"St Eval, Cornwall",4,6,8
11,Mark,M,32,Project manager,"Portadown, Northern Ireland",4,3,8
11,Peter,M,20,Accounting & finance student,Edinburgh,4,4,8
11,Sura,F,31,Hospital pharmacy dispenser,London,4,7,8
